Name(ENG),Name(KOR),Code,Type,Rarity,Recipe,Drop,Stat,Image Name
Lemon,레몬,LEM,Food,Common,,"고 5,호 6,병 4",,Lemon.png
Garlic,마늘,GAR,Food,Common,,"골 6,절 6,묘 5",,Garlic.png
Adhesive Bandage,반창고,ADB,Food,Common,,병 4,,Adhesive Bandage.png
Carp,붕어,CRP,Food,Common,,채집,,Carp.png
Bread,빵,BRD,Food,Common,,"항 4,성 4,학 6",,Bread.png
Meat,고기,MEA,Food,Common,,채집,,Meat.png
Egg,달걀,EGG,Food,Common,,"양 5,묘 5,숲 6",,Egg.png
Ramen,생라면,RAM,Food,Common,,"항 6,골 6,양 5",,Ramen.png
Oriental Herb,약초,HER,Food,Common,,"연 7,절 6,숲 6",,Oriental Herb.png
Chocolate,초콜렛,CHO,Food,Common,,"고 5,번 6,양 4",,Chocolate.png
Curry Powder,카레 가루,CPW,Food,Common,,"고 5,공 5",,Curry Powder.png
Honey Cod Steak,꿀 바른 대구살,HCS,Food,Uncommon,COD+HNY,,,Honey Cod Steak.png
Canned Cod Liver,대구 간 통조림,CCL,Food,Uncommon,COD+CAN,,,Canned Cod Liver.png
Garlic Bread,마늘빵,GBR,Food,Uncommon,BRD+GAR+2,,,Garlic Bread.png
Butter,버터,BUT,Food,Uncommon,MLK+BRA,,,Butter.png
Herb Medicine,보약,HMD,Food,Uncommon,HER+TTS,,,Herb Medicine.png
Carp Bread,붕어빵,CBR,Food,Uncommon,BRD+CRP+2,,,Carp Bread.png
Holy Water,성수,OWA,Food,Uncommon,,,,Holy Water.png
Disinfectant,지혈제,DIF,Food,Uncommon,ALC+ADB,,,Disinfectant.png
Choco Pie,초코파이,CHP,Food,Uncommon,BRD+CHO,,,Choco Pie.png
Acupuncture Needle,한방침,ACN,Food,Uncommon,NEE+ALC,,,Acupuncture Needle.png
Orchid,난초,ORC,Food,Uncommon,HER+FLO+2,,,Orchid.png
Tandoori Chicken,탄두리,TCH,Food,Uncommon,CPW+MEA,,,Tandoori Chicken.png
Bacon and Garlic Stick,마늘 베이컨 말이,BGS,Food,Uncommon,GAR+MEA,,,Bacon and Garlic Stick.png
Bun,번,BUN,Food,Uncommon,BRD+COF,,,Bun.png
Hamburger,햄버거,HBG,Food,Uncommon,BRE+MEA,,,Hamburger.png
Potato Bread,감자빵,PBR,Food,Uncommon,BRE+POT+2,,,Potato Bread.png
Potato Soup,감자스프,PSP,Food,Uncommon,POT+MLK,,,Potato Soup.png
Fish Fillet with Egg,달걀 생선 필레,FFE,Food,Uncommon,COD+EGG,,,Fish Fillet with Egg.png
Citrus Cake,시트러스 케이크,CCK,Food,Uncommon,BRE+LEM+2,,,Citrus Cake.png
Lemon Ice Cream,레몬 아이스크림,LIC,Food,Uncommon,LEM+EGG+3,,,Lemon Ice Cream.png
Honey Garlic Pickle,마늘 꿀절임,HGP,Food,Uncommon,GAR+HNY+3,,,Honey Garlic Pickle.png
Egg Bun,계란빵,EBN,Food,Uncommon,BRD+EGG+2,,,Egg Bun.png
Easter Egg,이스터 에그,EEG,Food,Uncommon,BRD+CHO,,,Easter Egg.png
Whiskey Bonbon,위스키 봉봉,WHB,Food,Uncommon,WHS+CHO+3,,,Whiskey Bonbon.png
Choco Ice Cream,초코 아이스크림,CIC,Food,Uncommon,ICE+CHO+2,,,Choco Ice Cream.png
Curry Bun,카레빵,CBN,Food,Uncommon,CPW+BRD+2,,,Curry Bun.png
French Fries,감자튀김,FFR,Food,Rare,POT+HOL,,,French Fries.png
Baked Potato,구운 감자,BPT,Food,Rare,POT+HST+2,,,Baked Potato.png
Baked Carp,구운 붕어,BCP,Food,Rare,CRP+HST+2,,,Baked Carp.png
Grilled Chilean Sea Bass,메로구이,GCB,Food,Rare,COD+HST+3,,,Grilled Chilean Sea Bass.png
Hot Ramen,뜨거운 라면,HRA,Food,Rare,RAM+BWA+2,,,Hot Ramen.png
Mocha Bread,모카빵,MBR,Food,Rare,BRD+CFL+2,,,Mocha Bread.png
Scrambled Eggs,스크램블 에그,SCE,Food,Rare,EGG+HOL+2,,,Scrambled Eggs.png
Chocolate Chip Cookies,초코칩 쿠키,CCC,Food,Rare,CHO+BUT+2,,,Chocolate Chip Cookies.png
Choco Pie Box,초코파이 상자,CPB,Food,Rare,CHP+BOX+2,,,Choco Pie Box.png
Curry,카레,CRY,Food,Rare,CPW+BWA+3,,,Curry.png
Oriental Concoction,탕약,ORI,Food,Rare,HER+BWA+2,,,Oriental Concoction.png
Honey Butter,허니버터,HBT,Food,Rare,BUT+HNY+2,,,Honey Butter.png
Fried Chicken,후라이드 치킨,FCH,Food,Rare,MEA+HOL+2,,,Fried Chicken.png
Healing Potion,힐링 포션,HPO,Food,Rare,ORC+GLB+2,,,Healing Potion.png
Boiled Egg,삶은 달걀,BEG,Food,Rare,EGG+BWA+2,,,Boiled Egg.png
Pound Cake,파운드 케이크,PCK,Food,Rare,BUT+BRD+2,,,Pound Cake.png
Curry Croquette,카레 고로케,CCQ,Food,Rare,CPW+HOL+2,,,Curry Croquette.png
Steak,스테이크,STK,Food,Rare,MEA+HST+4,,,Steak.png
First Aid Kit,구급상자,FAK,Food,Rare,DIF+BAN,,,First Aid Kit.png
Butter-Fried Potatoes,버터 감자구이,BFP,Food,Rare,POT+BUT+2,,,Butter-Fried Potatoes.png
Fish Cutlet,생선까스,FCT,Food,Rare,COD+HOL,,,Fish Cutlet.png
Stir Fried Ramen,볶음라면,STR,Food,Rare,RAM+HOL+2,,,Stir Fried Ramen.png
Cold Noodles,냉면,CND,Food,Rare,RAM+IWA+2,,,Cold Noodles.png
Garlic Ramen,마늘라면,GRA,Food,Rare,HRA+GAR+2,,,Garlic Ramen.png
Spicy Fish Stew,매운탕,SFS,Food,Rare,CRP+HWA+2,,,Spicy Fish Stew.png
Zen Vitality,대환단,ZVI,Food,Rare,ACN+HMD+2,,,Zen Vitality.png
Fish and Chips,피쉬 앤 칩스,FAC,Food,Epic,FCT+FFR+2,,,Fish and Chips.png
Honey,꿀,HNY,Bevarage,Common,,"골 5,번 6,숲 6",,Honey.png
Water,물,WAT,Bevarage,Common,,채집,,Water.png
Ice,얼음,ICE,Bevarage,Common,,"호 7,병 6,묘 5",,Ice.png
Whiskey Bonbon,위스키,WHS,Bevarage,Common,,"고 5,호 5,성 4",,Whiskey Bonbon.png
Coffee,커피콩,COF,Bevarage,Common,,"항 6,고 5,묘 5",,Coffee.png
Carbonated Water,탄산수,CWA,Bevarage,Common,,"모 5,고 5,호 5",,Carbonated Water.png
Milk,우유,MLK,Bevarage,Common,,"번 6,병 5,성 3",,Milk.png
Boiling Water,뜨거운 물,BWA,Bevarage,Uncommon,WAT+LIG+3,,,Boiling Water.png
Lemonade,레몬에이드,LMD,Bevarage,Uncommon,CWA+LEM+4,,,Lemonade.png
Water Bottle,물병,WAB,Bevarage,Uncommon,WAT+GLB+2,,,Water Bottle.png
Baijiu,백주,BAJ,Bevarage,Uncommon,ALC+LIG,,,Baijiu.png
Soju,소주,SOJ,Bevarage,Uncommon,ALC+WAT+2,,,Soju.png
Ice Coffee,아이스 커피,ICF,Bevarage,Uncommon,ICE+COF+2,,,Ice Coffee.png
Cocktail,칵테일,CTL,Bevarage,Uncommon,WHS+LEM+4,,,Cocktail.png
Coffee Liqueur,커피 리큐르,CFL,Bevarage,Uncommon,COF+ALC+2,,,Coffee Liqueur.png
Cola,콜라,COL,Bevarage,Uncommon,CWA+HNY+3,,,Cola.png
Latte,카페라테,CLA,Bevarage,Uncommon,MLK+COF+2,,,Latte.png
Honey Milk,꿀탄 우유,HMI,Bevarage,Uncommon,MLK+HNY+2,,,Honey Milk.png
Highball,하이볼,HBL,Bevarage,Uncommon,WHS+CWA+2,,,Highball.png
Chocolate Milk,초코 우유,CMI,Bevarage,Uncommon,CHO+MLK+3,,,Chocolate Milk.png
Honey Water,꿀물,HWA,Bevarage,Uncommon,HNY+WAT+2,,,Honey Water.png
Ice Water,얼음물,IWA,Bevarage,Uncommon,ICE+WAT+2,,,Ice Water.png
On The Rocks,온더락,OTR,Bevarage,Uncommon,ICE+WHS+2,,,On The Rocks.png
Cowboy,카우보이,CBY,Bevarage,Uncommon,MLK+WHS+2,,,Cowboy.png
Kaoliang Liquor,고량주,KLQ,Bevarage,Rare,BAJ+LIG+3,,,Kaoliang Liquor.png
Hot Honey Water,뜨거운 꿀물,HHW,Bevarage,Rare,BWA+HNY+2,,,Hot Honey Water.png
Flower Liquor,백일취,FLQ,Bevarage,Rare,BAJ+FLO+5,,,Flower Liquor.png
Americano,아메리카노,AMC,Bevarage,Rare,BWA+COF+2,,,Americano.png
Herbal Liquor,약주,HLQ,Bevarage,Rare,BAJ+HER+5,,,Herbal Liquor.png
Whiskey Cocktail,위스키 콕,WCT,Bevarage,Rare,COL+WHS+5,,,Whiskey Cocktail.png
Purified Water,정화수,PWA,Bevarage,Rare,BWA+ICE+2,,,Purified Water.png
Can of Cola,캔 콜라,COC,Bevarage,Rare,COL+CAN+2,,,Can of Cola.png
Hot Chocolate,핫초코,HOC,Bevarage,Rare,BWA+CHO+4,,,Hot Chocolate.png
White Russian,깔루아 밀크,WRS,Bevarage,Rare,CFL+MLK+4,,,White Russian.png
Surveillance Camera,감시 카메라,CAM,Summon,Common,,"항 6,모 5,고 6,번 6,병 6,양 5,묘 6,학 6",,Surveillance Camera.png
Snare,올가미,SNR,Summon,Common,,"항 6,연 6,모 5,양 5,숲 5,성 5",공격력 +10,Snare.png
Mouse Trap,쥐덫,MTR,Summon,Common,,"연 7,모 5,묘 6",공격력 +50,Mouse Trap.png
Piano Wire,피아노선,PWR,Summon,Common,,"모 6,고 7,호 7,성 6",공격력 +130,Piano Wire.png
Spiked Plank,가시 발판,SPL,Summon,Uncommon,MTR+NAI+2,,공격력 +120,Spiked Plank.png
Enhanced Mouse Trap,개량형 쥐덫,EMT,Summon,Uncommon,MTR+IRO+2,,공격력 +160,Enhanced Mouse Trap.png
Dynamite,다이너마이트,DYN,Summon,Uncommon,PWR+GUN,,공격력 +220,Dynamite.png
Bamboo Trap,대나무 트랩,BBT,Summon,Uncommon,SNR+BAM+2,,공격력 +30,Bamboo Trap.png
Booby Trap,부비트랩,BYT,Summon,Uncommon,SNR+GLU+2,,공격력 +30,Booby Trap.png
Clang Clatter,소란 발생기,CCR,Summon,Uncommon,CAN+IBA+5,,공격력 +40,Clang Clatter.png
Telephoto Camera,망원 카메라,TCA,Summon,Uncommon,CAM+BIN+3,,,Telephoto Camera.png
Jungle Guillotine,정글 기요틴,JGU,Summon,Uncommon,MTR+KKN,,공격력 +100,Jungle Guillotine.png
Explosive Trap,폭발 트랩,EPT,Summon,Uncommon,MTR+GUN,,공격력 +180,Explosive Trap.png
Mine,지뢰,MIN,Summon,Rare,BYT+GUN+2,,공격력 +80,Mine.png
Pendulum Axe,펜듈럼 도끼,PAX,Summon,Rare,BBT+HCH+2,,공격력 +100,Pendulum Axe.png
RDX,RDX,RDX,Summon,Rare,DYN+SCM,,공격력 +250,RDX.png
Mithril String,미스릴 실,MIS,Summon,Rare,MIT+PWR+3,,공격력 +300,Mithril String.png
Fire Trap,화염 트랩,FIT,Summon,Rare,EPT+OLC+3,,공격력 +280,Fire Trap.png
Hidden Maiden,히든 메이든,HMA,Summon,Rare,SPL+JGU+2,,공격력 +300,Hidden Maiden.png
C-4,C-4,C-4,Summon,Epic,RDX+WPW+3,,공격력 +340,C-4.png
Double Guillotine,더블 기요틴,DGU,Summon,Epic,JGU+PAX+2,,공격력 +340,Double Guillotine.png
Claymore,크레모어,CLM,Summon,Epic,MIN+EPT+2,,공격력 +260,Claymore.png
Stingburst,폭뢰침,SBT,Summon,Epic,RDX+SPL+2,,공격력 +310,Stingburst.png
Remote Mine,리모트 마인,RMN,Summon,Legendary,FCO+SPL+3,,공격력 +450,Remote Mine.png
Smart Bomb,스마트 폭탄,STB,Summon,Legendary,RDX+CEL+3,,공격력 +370,Smart Bomb.png
